,horizon,mse,rmse,mae,mape,mdape,smape,coverage,indc
2679,31 days,2.24235159599775,1.497448361713268,1.2187329423291648,0.8001564016223113,0.7089952185456616,0.5470336996170132,0.5959595959595959,39
2679,31 days,1.9258767499967704,1.3877596153501406,1.126552656228766,0.7402255254716448,0.640017169021973,0.5217618557446047,0.6094276094276094,40
2679,31 days,1.9457528463125584,1.3949024504647478,1.1325601053911776,0.7441199988716024,0.6448774937650883,0.5232859855894759,0.6195286195286195,41
2679,31 days,2.265668643755421,1.505213819945665,1.225300456594185,0.8044225506077656,0.7142285203398294,0.5486789900917698,0.5959595959595959,42
2679,31 days,1.937853792653525,1.3920681709792537,1.1301664990478764,0.7425690863294877,0.6429123257679249,0.5226870810131324,0.6094276094276094,43
2679,31 days,1.953464579129127,1.3976639721796964,1.1348926029941595,0.7456312458216253,0.6467253133694062,0.5238868182228368,0.6127946127946128,44
2679,31 days,2.577940378707736,1.6055965803114232,1.3168934213259156,0.8636420945873982,0.7788096233777508,0.5589004143196955,0.6363636363636364,45
2679,31 days,2.112028141216381,1.4532818519531512,1.1876467607988797,0.779490808652452,0.674704863677317,0.52551271387965,0.6262626262626263,46
2679,31 days,2.1098376755055974,1.4525280291634985,1.1870382307608205,0.7790912120671584,0.6740025950114193,0.5253971525209584,0.632996632996633,47
2679,31 days,2.588267181555758,1.6088092433709342,1.3136956628880019,0.8618297185758829,0.7593257087701759,0.5703335726351415,0.6397306397306397,48
2679,31 days,2.2020696449030654,1.4839372105662239,1.2083808949898907,0.7932889295999717,0.7018132237596042,0.5427334979003086,0.6599326599326599,49
2679,31 days,2.1627950270882463,1.4706444257835565,1.197008334839468,0.7858984513461836,0.6934119475629758,0.5397505652426634,0.6296296296296297,50
2679,31 days,2.585609758283928,1.6079831337062984,1.312964418833085,0.8613564041333991,0.7584809223615003,0.5702100219830544,0.6363636363636364,51
2679,31 days,2.1353475738777936,1.4612828521124148,1.1891071098941852,0.7807716577146957,0.6870063510542572,0.5378261169084002,0.6666666666666666,52
2679,31 days,2.185752090804653,1.4784289265313544,1.2037077780188954,0.7902485832495146,0.6984014102605092,0.5415066191030442,0.6262626262626263,53
